LoadPortID,ToolID,PortName,SlotCount,TaughtZ
1,CSB201,P1,25,22.82
2,CSB201,P2,25,22.75
3,CSB201,P3,25,22.80
4,CSB202,P1,25,23.15
5,CSB202,P2,25,23.08
6,CSB202,P3,25,23.12
7,CSB203,P1,25,22.95
8,CSB203,P2,25,22.88
9,CSB203,P3,25,22.91
10,CSB204,P1,25,24.50
11,CSB204,P2,25,24.45
12,CSB204,P3,25,24.52
13,CSB205,P1,25,22.65
14,CSB205,P2,25,22.70
15,CSB205,P3,25,22.68
16,CSB206,P1,25,23.40
17,CSB206,P2,25,23.35
18,CSB206,P3,25,23.38
19,CSB207,P1,25,22.90
20,CSB207,P2,25,22.85
21,CSB207,P3,25,22.88
22,CSB208,P1,25,23.20
23,CSB208,P2,25,23.15
24,CSB208,P3,25,23.18
25,CSB221,P1,25,22.78
26,CSB221,P2,25,22.72
27,CSB221,P3,25,22.75
28,CSB222,P1,25,23.05
29,CSB222,P2,25,23.00
30,CSB222,P3,25,23.02
31,CSB223,P1,25,22.88
32,CSB223,P2,25,22.82
33,CSB223,P3,25,22.85
34,CSB224,P1,25,23.30
35,CSB224,P2,25,23.25
36,CSB224,P3,25,23.28
37,CSB225,P1,25,22.70
38,CSB225,P2,25,22.65
39,CSB225,P3,25,22.68
40,CSB226,P1,25,23.15
41,CSB226,P2,25,23.10
42,CSB226,P3,25,23.12
43,CSB227,P1,25,22.95
44,CSB227,P2,25,22.90
45,CSB227,P3,25,22.92
46,CSB228,P1,25,23.45
47,CSB228,P2,25,23.40
48,CSB228,P3,25,23.42
49,CSB229,P1,25,22.80
50,CSB229,P2,25,22.75
51,CSB229,P3,25,22.78
52,CSB230,P1,25,23.10
53,CSB230,P2,25,23.05
54,CSB230,P3,25,23.08
55,CSB231,P1,25,22.85
56,CSB231,P2,25,22.80
57,CSB231,P3,25,22.82
58,CSB232,P1,25,23.25
59,CSB232,P2,25,23.20
60,CSB232,P3,25,23.22
61,CSB233,P1,25,22.92
62,CSB233,P2,25,22.88
63,CSB233,P3,25,22.90