RunID,LoadPortID,ToolID,PortName,RunTimestamp,TaughtZ,OverallResult,PassedSlots,FailedSlots,SensorFailSlots,MeanOffset
1,1,CSB201,P1,2026-01-25 06:46:23,22.82,PASS,25,0,0,0.15
2,1,CSB201,P1,2026-01-25 14:30:00,22.82,PASS,25,0,0,0.12
3,2,CSB201,P2,2026-01-25 07:15:00,22.75,PASS,25,0,0,0.08
4,3,CSB201,P3,2026-01-25 08:00:00,22.80,PASS,25,0,0,0.11
5,4,CSB202,P1,2026-01-24 09:30:00,23.15,PASS,25,0,0,0.18
6,4,CSB202,P1,2026-01-24 16:45:00,23.15,FAIL,22,3,0,0.92
7,5,CSB202,P2,2026-01-24 10:00:00,23.08,PASS,25,0,0,0.05
8,6,CSB202,P3,2026-01-24 11:30:00,23.12,PASS,25,0,0,0.14
9,7,CSB203,P1,2026-01-23 08:00:00,22.95,PASS,25,0,0,0.09
10,8,CSB203,P2,2026-01-23 09:30:00,22.88,INCOMPLETE,18,0,7,0.22
11,9,CSB203,P3,2026-01-23 11:00:00,22.91,PASS,25,0,0,0.07
12,10,CSB204,P1,2026-01-22 07:00:00,24.50,PASS,25,0,0,0.12
13,11,CSB204,P2,2026-01-22 08:30:00,24.45,PASS,25,0,0,0.16
14,12,CSB204,P3,2026-01-22 10:00:00,24.52,FAIL,20,5,0,1.15
15,13,CSB205,P1,2026-01-26 06:00:00,22.65,PASS,25,0,0,0.06
16,14,CSB205,P2,2026-01-26 07:30:00,22.70,PASS,25,0,0,0.10
17,15,CSB205,P3,2026-01-26 09:00:00,22.68,PASS,25,0,0,0.08
18,16,CSB206,P1,2026-01-21 08:00:00,23.40,PASS,25,0,0,0.21
19,17,CSB206,P2,2026-01-21 09:30:00,23.35,PASS,25,0,0,0.18
20,18,CSB206,P3,2026-01-21 11:00:00,23.38,PASS,25,0,0,0.15
21,19,CSB207,P1,2026-01-20 07:30:00,22.90,PASS,25,0,0,0.11
22,20,CSB207,P2,2026-01-20 09:00:00,22.85,FAIL,21,4,0,1.05
23,21,CSB207,P3,2026-01-20 10:30:00,22.88,PASS,25,0,0,0.09
24,22,CSB208,P1,2026-01-19 08:00:00,23.20,PASS,25,0,0,0.14
25,23,CSB208,P2,2026-01-19 09:30:00,23.15,PASS,25,0,0,0.12
26,24,CSB208,P3,2026-01-19 11:00:00,23.18,PASS,25,0,0,0.10
27,25,CSB221,P1,2026-01-25 10:00:00,22.78,PASS,25,0,0,0.13
28,26,CSB221,P2,2026-01-25 11:30:00,22.72,PASS,25,0,0,0.09
29,27,CSB221,P3,2026-01-25 13:00:00,22.75,PASS,25,0,0,0.11
30,28,CSB222,P1,2026-01-24 14:00:00,23.05,PASS,25,0,0,0.17
31,29,CSB222,P2,2026-01-24 15:30:00,23.00,INCOMPLETE,12,0,13,0.28
32,30,CSB222,P3,2026-01-24 17:00:00,23.02,PASS,25,0,0,0.14
33,31,CSB223,P1,2026-01-23 13:00:00,22.88,PASS,25,0,0,0.08
34,32,CSB223,P2,2026-01-23 14:30:00,22.82,PASS,25,0,0,0.06
35,33,CSB223,P3,2026-01-23 16:00:00,22.85,PASS,25,0,0,0.07
36,34,CSB224,P1,2026-01-22 12:00:00,23.30,FAIL,19,6,0,1.25
37,35,CSB224,P2,2026-01-22 13:30:00,23.25,PASS,25,0,0,0.19
38,36,CSB224,P3,2026-01-22 15:00:00,23.28,PASS,25,0,0,0.16
39,37,CSB225,P1,2026-01-26 10:30:00,22.70,PASS,25,0,0,0.05
40,38,CSB225,P2,2026-01-26 12:00:00,22.65,PASS,25,0,0,0.08
41,39,CSB225,P3,2026-01-26 13:30:00,22.68,PASS,25,0,0,0.06
42,40,CSB226,P1,2026-01-21 13:00:00,23.15,PASS,25,0,0,0.12
43,41,CSB226,P2,2026-01-21 14:30:00,23.10,PASS,25,0,0,0.10
44,42,CSB226,P3,2026-01-21 16:00:00,23.12,PASS,25,0,0,0.11
45,43,CSB227,P1,2026-01-20 12:00:00,22.95,PASS,25,0,0,0.15
46,44,CSB227,P2,2026-01-20 13:30:00,22.90,PASS,25,0,0,0.13
47,45,CSB227,P3,2026-01-20 15:00:00,22.92,PASS,25,0,0,0.14
48,46,CSB228,P1,2026-01-19 12:30:00,23.45,PASS,25,0,0,0.22
49,47,CSB228,P2,2026-01-19 14:00:00,23.40,FAIL,23,2,0,0.88
50,48,CSB228,P3,2026-01-19 15:30:00,23.42,PASS,25,0,0,0.18
51,49,CSB229,P1,2026-01-25 15:00:00,22.80,PASS,25,0,0,0.07
52,50,CSB229,P2,2026-01-25 16:30:00,22.75,PASS,25,0,0,0.09
53,51,CSB229,P3,2026-01-25 18:00:00,22.78,PASS,25,0,0,0.08
54,52,CSB230,P1,2026-01-24 18:30:00,23.10,PASS,25,0,0,0.16
55,53,CSB230,P2,2026-01-24 20:00:00,23.05,PASS,25,0,0,0.14
56,54,CSB230,P3,2026-01-24 21:30:00,23.08,PASS,25,0,0,0.15
57,55,CSB231,P1,2026-01-23 18:00:00,22.85,PASS,25,0,0,0.10
58,56,CSB231,P2,2026-01-23 19:30:00,22.80,PASS,25,0,0,0.08
59,57,CSB231,P3,2026-01-23 21:00:00,22.82,PASS,25,0,0,0.09
60,58,CSB232,P1,2026-01-22 17:00:00,23.25,PASS,25,0,0,0.20
61,59,CSB232,P2,2026-01-22 18:30:00,23.20,PASS,25,0,0,0.17
62,60,CSB232,P3,2026-01-22 20:00:00,23.22,FAIL,22,3,0,0.95
63,61,CSB233,P1,2026-01-26 15:00:00,22.92,PASS,25,0,0,0.11
64,62,CSB233,P2,2026-01-26 16:30:00,22.88,PASS,25,0,0,0.09
65,63,CSB233,P3,2026-01-26 18:00:00,22.90,PASS,25,0,0,0.10