ToolID,ToolName,IPAddress,Location,Username
CSB201,CSB201,10.44.42.26,Metals Area,amat
CSB202,CSB202,10.44.42.55,Metals Area,amat
CSB203,CSB203,10.44.42.124,Metals Area,amat
CSB204,CSB204,10.44.42.115,Metals Area,amat
CSB205,CSB205,10.44.42.151,Metals Area,amat
CSB206,CSB206,10.44.42.37,Metals Area,amat
CSB207,CSB207,10.44.49.237,Metals Area,amat
CSB208,CSB208,10.44.55.132,Metals Area,amat
CSB221,CSB221,10.44.42.32,Metals Area,amat
CSB222,CSB222,10.44.42.68,Metals Area,amat
CSB223,CSB223,10.44.42.121,Metals Area,amat
CSB224,CSB224,10.44.42.145,Metals Area,amat
CSB225,CSB225,10.44.42.153,Metals Area,amat
CSB226,CSB226,10.44.42.197,Metals Area,amat
CSB227,CSB227,10.44.42.228,Metals Area,amat
CSB228,CSB228,10.44.49.229,Metals Area,amat
CSB229,CSB229,10.44.49.202,Metals Area,amat
CSB230,CSB230,10.44.49.211,Metals Area,amat
CSB231,CSB231,10.44.49.225,Metals Area,amat
CSB232,CSB232,10.44.49.69,Metals Area,amat
CSB233,CSB233,10.44.49.170,Metals Area,amat